,index,year,exporter,importer,product,value,quantity
445,257508,2022,AUT,HRV,780600,3.181,0.112
446,258063,2022,AUT,HRV,850710,1185.762,296.797
447,258064,2022,AUT,HRV,850720,1781.397,289.996
448,259204,2022,AUT,CYP,282410,0.046,0.001
449,259971,2022,AUT,CYP,780600,0.419,0.053
450,260239,2022,AUT,CYP,850710,185.148,61.051
451,260240,2022,AUT,CYP,850720,3.382,0.941
452,261356,2022,AUT,CZE,282410,154.898,42.242
453,261782,2022,AUT,CZE,381111,0.953,0.114
454,263189,2022,AUT,CZE,721020,10.488,6.24
455,263485,2022,AUT,CZE,780110,10155.662,4940.11
456,263486,2022,AUT,CZE,780191,32.586,14.0
457,263487,2022,AUT,CZE,780199,3664.505,1503.36
458,263488,2022,AUT,CZE,780200,1492.011,676.546
459,263489,2022,AUT,CZE,780411,10.19,1.298
460,263490,2022,AUT,CZE,780419,3.874,0.758
461,263491,2022,AUT,CZE,780600,15.814,0.786
462,264095,2022,AUT,CZE,850710,2594.277,1319.127
463,264096,2022,AUT,CZE,850720,949.911,306.174
464,264317,2022,AUT,CZE,854911,856.536,930.532
465,266780,2022,AUT,DNK,780199,0.027,0.012
466,266781,2022,AUT,DNK,780600,0.391,0.034
467,267248,2022,AUT,DNK,850710,1634.427,389.428
468,267249,2022,AUT,DNK,850720,339.725,66.474
469,268336,2022,AUT,DOM,850710,0.484,0.009
470,268337,2022,AUT,DOM,850720,0.158,0.001
471,268790,2022,AUT,ECU,780600,0.072,0.002
472,268998,2022,AUT,ECU,850710,3.077,0.038
473,269412,2022,AUT,SLV,780600,0.207,0.003
474,269562,2022,AUT,SLV,850710,0.528,0.045
475,269563,2022,AUT,SLV,850720,6.943,0.144
476,270036,2022,AUT,ETH,850710,15.299,0.162
477,270037,2022,AUT,ETH,850720,0.137,0.041
478,271614,2022,AUT,EST,780199,0.008,0.004
479,271615,2022,AUT,EST,780600,17.69,0.972
480,271989,2022,AUT,EST,850710,41.798,17.096
481,271990,2022,AUT,EST,850720,7.867,0.959
482,274128,2022,AUT,FIN,780600,8.578,0.775
483,274582,2022,AUT,FIN,850710,522.843,297.667
484,274583,2022,AUT,FIN,850720,39.372,15.787
485,276093,2022,AUT,FRA,381111,0.032,0.018
486,277669,2022,AUT,FRA,780199,0.041,0.018
487,277670,2022,AUT,FRA,780600,1.469,0.167
488,278271,2022,AUT,FRA,850710,23045.29,7484.546
489,278272,2022,AUT,FRA,850720,2954.663,698.49
490,279335,2022,AUT,GAB,850710,152.63,47.835
491,280183,2022,AUT,GEO,850710,183.795,52.986
492,280184,2022,AUT,GEO,850720,3.001,0.551
493,282113,2022,AUT,DEU,381111,1.283,0.106
494,284022,2022,AUT,DEU,780110,476.987,197.232
495,284023,2022,AUT,DEU,780191,255.059,71.757
496,284024,2022,AUT,DEU,780199,204.488,145.275
497,284025,2022,AUT,DEU,780200,1355.651,916.683
498,284026,2022,AUT,DEU,780419,10.697,3.379
499,284027,2022,AUT,DEU,780420,1.297,0.06
500,284028,2022,AUT,DEU,780600,145.349,8.446
501,284716,2022,AUT,DEU,850710,33601.875,15488.894
502,284717,2022,AUT,DEU,850720,11705.44,3715.494
503,284944,2022,AUT,DEU,854911,1368.405,1314.655
504,285829,2022,AUT,GHA,850710,77.761,27.56
505,285830,2022,AUT,GHA,850720,5.998,0.101
506,287921,2022,AUT,GRC,780419,0.971,0.225
507,287922,2022,AUT,GRC,780600,0.029,0.001
508,288376,2022,AUT,GRC,850710,954.737,277.741
509,288377,2022,AUT,GRC,850720,12.768,1.813
510,289685,2022,AUT,GTM,850710,6.713,0.562
511,289686,2022,AUT,GTM,850720,1.753,0.058
512,291751,2022,AUT,HKG,850710,197.163,40.634
513,291752,2022,AUT,HKG,850720,16.548,1.348
